fixed acidity,chlorides,total sulfur dioxide,pH,alcohol,type
12.2,0.075,6,3.13,10.4,r
9.1,0.065,17,3.32,10.5,r
9.5,0.079,28,3.25,10,r
7.3,0.07,70,3.34,12.9,r
9.1,0.065,17,3.32,10.5,r
12.2,0.075,6,3.13,10.4,r
7.4,0.064,11,3.45,11.3,r
9.8,0.066,7,3.19,11.4,r
7.1,0.08,70,3.44,9.4,r
7.7,0.097,27,3.16,9.4,r
9.7,0.073,21,3.14,10.9,r
7.7,0.097,27,3.16,9.4,r
7.1,0.082,68,3.45,9.4,r
6.5,0.076,47,3.36,9.4,r
7.1,0.082,68,3.45,9.4,r
10,0.092,88,3.15,9.4,r
7.7,0.079,41,3.39,,r
5.6,0.087,11,3.71,12.8,r
5.6,0.087,11,3.71,12.8,r
8.9,0.05,10,3.12,9.1,r
6.4,0.055,12,3.47,12.9,r
7.5,0.062,12,3.44,11.5,r
9.9,0.058,47,3.26,10.6,r
9.1,0.063,27,3.26,11.7,r
6.8,0.067,8,3.36,12.8,r
8.2,0.081,45,3.25,10.3,r
6.8,0.067,8,,12.8,r
9.1,0.063,27,3.26,11.7,r
9.1,0.064,25,3.26,11.7,r
8.9,0.11,24,3.23,12,r
9.6,0.116,55,,10.9,r
8.9,0.067,12,3.25,12.3,r
8.9,0.088,19,3.17,10.4,r
7.7,0.102,32,3.23,10,r
7.5,0.092,31,,10,r
8,0.12,7,3.22,11.2,r
10.5,0.075,27,3.06,11.4,r
8.9,0.068,28,3.27,12.6,r
8,0.049,,2.89,12.7,r
8,0.049,109,2.89,12.7,r
7,0.078,23,3.53,10.4,r
11.3,0.123,8,3.2,11.9,r
11.3,0.123,8,3.2,11.9,r
7,0.062,9,3.35,10.5,r
8.2,0.098,9,3.27,12.3,r
7.7,0.088,18,3.32,10.5,r
8.6,0.095,43,3.33,10.4,r
7.9,0.066,36,3.41,12.6,r
6.4,0.065,52,3.49,11.6,r
7.2,0.075,68,3.37,10.1,r
7.7,0.088,18,3.32,10.5,r
7.1,0.091,14,3.42,11.5,r
7.3,0.093,15,3.35,11,r
8.1,0.095,14,3.36,9.6,r
7.5,0.089,27,3.3,10.4,r
8.9,0.077,48,3.2,9.7,r
10.1,0.085,17,3.17,10.6,r
7.6,0.082,35,3.22,12.5,r
7.3,0.074,56,3.35,9.2,r
8.7,0.078,42,3.24,12.6,r
8.9,0.088,39,3.33,11.1,r
7.4,0.088,32,3.58,10.2,r
6.9,0.079,26,3.38,9.8,r
8.9,0.088,39,3.33,11.1,r
9.5,0.069,39,3.29,10.9,r
6.4,0.046,53,3.36,12.2,r
6.9,0.07,38,3.32,11.4,r
7.6,0.076,45,3.31,10.7,r
7.1,0.082,51,3.49,10.4,r
9.3,0.081,14,3.27,10.9,r
9.3,0.084,17,3.27,10.8,r
7.1,0.082,51,3.49,10.4,r
8.5,0.414,45,3.03,9.2,r
5.6,0.073,25,3.56,12.9,r
8.3,0.07,20,3.38,12.7,r
8.2,0.095,77,3.13,9.1,r
8.2,0.095,77,3.13,9.1,r
8.9,0.101,10,3.21,12.1,r
7.6,0.104,90,3.15,9.1,r
9.9,0.093,52,3.19,11.6,r
8.9,0.101,10,3.21,12.1,r
11.6,0.074,8,3.14,9.9,r
9.1,0.071,16,3.21,12.5,r
8,0.098,15,3.3,11.4,r
10.2,0.075,17,3.22,11.8,r
8.2,0.067,10,3.28,11.8,r
7.7,0.083,20,3.29,10.2,r
6.6,0.07,26,3.4,12.5,r
11.1,0.06,10,3.02,10.9,r
11.1,0.06,10,3.02,10.9,r
8,0.086,52,3.31,10.8,r
9.3,0.057,37,3.18,11.1,r
7.5,0.098,92,3.2,9.2,r
7.2,0.083,75,3.4,9.5,r
8,0.088,37,3.31,10.7,r
7.5,0.098,92,3.2,9.2,r
9.1,0.071,67,3.44,10.2,r
9.9,0.073,8,3.15,11.4,r
8.6,0.08,8,3.27,11,r
8.6,0.08,8,3.27,11,r
7.9,0.05,278,3.01,12.3,r
10.3,0.047,8,3.16,11.8,r
7.9,0.05,289,3.01,12.3,r
7.2,0.073,70,3.42,9.5,r
8.7,0.072,59,3.33,12,r
7.2,0.073,70,3.42,9.5,r
6.8,0.074,64,3.12,9.6,r
8.5,0.055,9,3.38,11.6,r
7.9,0.057,30,3.29,11.2,r
11.6,0.095,41,3.02,9.9,r
11.6,0.095,41,3.02,9.9,r
10,0.083,74,2.98,11.8,r
7.9,0.086,19,3.35,11.4,r
7,0.081,16,3.43,11.5,r
9.2,0.079,31,3.33,12,r
6.6,0.117,17,3.35,10.8,r
9.4,0.087,20,3.15,10.5,r
6.6,0.117,17,3.35,10.8,r
8.6,0.096,18,3.2,9.4,r
8,0.216,16,3.15,12.5,r
8.6,0.096,18,3.2,9.4,r
8.4,0.072,36,3.11,12.4,r
7.4,0.071,25,3.35,12,r
6.1,0.078,30,3.45,11.2,r
7.4,0.071,25,3.35,12,r
8,0.073,25,3.28,12.4,r
6.3,0.048,49,3.41,12.8,r
8.2,0.069,17,3.21,12.3,r
9.1,0.068,24,3.27,11.7,r
8.1,0.09,13,3.36,9.5,r
10.8,0.171,66,3.17,10.8,r
8.3,0.07,14,3.25,10,r
5.4,0.092,55,3.78,12.3,r
7.9,0.056,35,3.29,11,r
8.9,0.074,10,3.12,9.5,r
5,0.046,80,3.49,13.6,r
7,0.091,21,3.38,11.3,r
7,0.091,21,3.38,11.3,r
7,0.091,21,3.38,11.3,r
7.1,0.065,24,3.3,13.3,r
5.6,0.066,15,3.52,12.9,r
7.9,0.076,17,3.2,13.1,r
6.6,0.062,28,3.44,12.3,r
6.3,0.055,33,3.45,12.3,r
10.7,0.081,29,3.12,11.2,r
6.5,0.096,13,3.62,11.5,r
8.8,0.055,27,3.14,11.3,r
5.8,0.063,11,3.39,13.5,r
6.3,0.072,52,3.51,11.5,r
10,0.095,89,3.22,10,r
10.5,0.092,70,3.21,10.5,r
9.1,0.058,10,3.18,10.4,r
5.9,0.045,135,3.32,9.5,r
7.4,0.075,38,3.38,13.6,r
7.2,0.089,18,3.37,11.2,r
8.5,0.061,15,3.3,11.8,r
8,0.067,50,3.38,11.9,r
10.4,0.08,13,3.22,11.4,r
10.4,0.08,13,3.22,11.4,r
7.5,0.104,94,3.14,9.1,r
8.2,0.079,86,3.34,9.5,r
7.3,0.08,79,3.41,9.5,r
8.2,0.08,71,3.27,11,r
6.9,0.043,12,3.3,11.4,r
7,0.065,20,3.61,10,r
7.3,0.066,70,3.43,10.1,r
8.2,0.076,51,3.53,10.4,r
7.8,0.178,21,3.28,9.8,r
10,0.071,14,3.21,11.8,r
7.8,0.086,21,3.39,11.6,r
10,0.061,11,3.23,12,r
8.2,0.067,12,3.3,12.8,r
6.1,0.044,70,3.46,12.5,r
8.3,0.118,38,3.15,9.8,r
9.6,0.083,38,3.23,11.1,r
6.6,0.1,63,3.59,11.4,r
8.3,0.118,38,3.15,9.8,r
8.5,0.071,88,3.33,11.8,r
5.1,0.042,101,3.46,12.9,r
6.7,0.076,54,3.42,10.6,r
10.2,0.11,37,3.16,10.8,r
10.6,0.087,20,3.14,11.1,r
8.8,0.076,21,3.21,10.2,r
8.5,0.075,19,3.14,11.8,r
9,0.078,21,3.29,10,r
9,0.078,21,3.29,10,r
8.5,0.369,38,3.01,9.4,r
9.9,0.111,60,2.94,10.2,r
8.2,0.074,48,3.32,12.4,r
6.5,0.067,44,3.21,12,r
7.6,0.086,14,3.32,11.5,r
9.2,0.062,12,3.2,10.5,r
7.1,0.078,44,3.42,10.8,r
9.7,0.074,16,3.27,12.3,r
7.6,0.079,65,3.46,9.5,r
7.6,0.079,65,3.46,9.5,r
6.5,0.095,59,3.61,11.5,r
6.5,0.079,47,3.58,11.2,r
7.1,0.052,11,3.35,12.7,r
5.6,0.041,78,3.68,11.4,r
8.2,0.076,47,3.27,11,r
8.2,0.076,47,3.27,11,r
9.8,0.068,11,3.19,11.4,r
10.2,0.068,54,3.38,10.5,r
6.8,0.07,61,3.29,9.3,r
6.7,0.08,119,3.36,10.9,r
7,0.085,39,3.33,11.9,r
6.6,0.079,12,3.52,12.2,r
7,0.085,39,3.33,11.9,r
6.7,0.08,119,3.36,10.9,r
8.8,0.075,19,3.3,9.6,r
9.1,0.08,20,3.28,12.5,r
6.5,0.166,12,3.56,10.8,r
7.2,0.063,41,3.52,12.4,r
6.4,0.166,12,3.56,10.8,r
7,0.114,64,3.22,9.5,r
6.2,0.078,56,3.52,9.5,r
7.9,0.076,94,3.21,9.5,r
7.7,0.069,9,3.16,9.8,r
7.7,0.052,77,3.15,10.9,r
7.9,0.076,94,3.21,9.5,r
7.7,0.069,9,3.16,9.8,r
7.9,0.065,10,3.27,11.2,r
8.6,0.068,12,3.35,11.7,r
9.9,0.111,76,3.14,9.4,r
7.2,0.074,44,3.4,11,r
7.2,0.074,44,3.4,11,r
7.2,0.074,44,3.4,11,r
9.9,0.136,52,3.35,10,r
7.2,0.074,44,3.4,11,r
6.2,0.071,24,3.45,11.2,r
6.8,0.078,15,3.35,10.4,r
6.6,0.076,53,3.32,9.3,r
6.8,0.078,15,3.35,10.4,r
9.6,0.071,13,3.15,10.5,r
10.2,0.081,9,3.1,10.4,r
8.8,0.095,29,3.26,11.3,r
7.9,0.079,79,3.29,9.5,r
8.2,0.057,74,3.23,12,r
8.2,0.082,24,3.24,10.6,r
9,0.044,50,3.2,10.9,r
10.9,0.132,44,3.28,11.5,r
10.9,0.132,44,3.28,11.5,r
8.1,0.078,89,3.26,9.6,r
10.5,0.074,23,3.23,12,r
12.6,0.08,20,3.07,10.3,r
9.2,0.091,77,3.15,9.4,r
7.5,0.08,46,3.02,9.2,r
9,0.104,21,3.27,9.6,r
5.1,0.044,88,3.68,13.6,r
7.6,0.075,66,3.4,9.5,r
7.7,0.066,58,3.37,11.8,r
7.8,0.074,90,3.38,10.8,r
7.6,0.075,66,3.4,9.5,r
10.2,0.057,36,3.23,9.3,r
7.1,0.059,18,3.39,12.8,r
6,0.054,113,3.3,11.5,r
7.8,0.07,17,3.26,9.4,r
7.1,0.059,18,3.39,12.8,r
8.1,0.081,24,3.38,9.6,r
6.5,0.057,20,3.45,11.8,r
7.5,0.076,60,3.1,9.3,r
9.8,0.079,65,3.16,9.8,r
9,0.058,40,3.22,12.2,r
8.3,0.082,86,3.37,9.5,r
5.9,0.067,160,3.33,10.3,r
7.4,0.082,34,3.49,10.5,r
7.4,0.086,48,3.12,10,r
7.4,0.082,34,3.49,10.5,r
6.9,0.081,36,3.41,11.1,r
7.1,0.079,37,3.4,10.9,r
7.1,0.079,37,3.4,10.9,r
7.5,0.077,60,3.28,9.8,r
7.1,0.123,14,3.45,9.8,r
7.9,0.096,13,3.43,9.5,r
7.8,0.079,35,3.4,10.9,r
6.1,0.069,46,3.47,11,r
7.5,0.082,60,3.1,9.2,r
7,0.085,69,3.32,11,r
6.8,0.123,33,3.44,11.3,r
6.8,0.123,33,3.44,11.3,r
8.6,0.403,56,3.02,9.3,r
6.3,0.083,24,3.59,11.2,r
9.8,0.081,66,3.15,9.8,r
8.2,0.089,26,3.37,9.6,r
8.5,0.066,51,3.38,11.8,r
7.2,0.081,36,3.38,10.3,r
7.2,0.081,36,3.38,10.3,r
10.4,0.068,19,3.1,11.4,r
6.9,0.079,51,3.47,9.5,r
5.5,0.044,87,3.5,14,r
5,0.048,60,3.7,14,r
7.3,0.049,64,3.38,11.7,r
5.9,0.077,44,3.5,11.2,r
7.5,0.073,44,3.1,9.3,r
7.8,0.102,36,3.24,11.2,r
8,0.075,81,3.24,9.5,r
8.5,0.05,10,3.28,12,r
7,0.114,10,3.35,9.7,r
8,0.075,81,3.24,9.5,r
9.8,0.062,9,3.14,11.5,r
7.1,0.077,54,3.37,10.4,r
7.1,0.077,54,3.37,10.4,r
7.9,0.084,22,3.33,10.9,r
8.7,0.096,69,3.26,10.2,r
7,0.071,36,3.39,10.9,r
11.3,0.09,47,3.15,10.5,r
7.1,0.068,31,3.35,12.4,r
8,0.056,7,3.22,13,r
7,0.068,110,3.3,10.2,r
7,0.068,110,3.3,10.2,r
7.6,0.1,12,3.36,11,r
8.2,0.073,60,3.29,10.9,r
5.9,0.056,28,3.62,12.4,r
7.5,0.084,12,3.34,9.7,r
8.2,0.073,60,3.29,10.9,r
6.6,0.093,77.5,3.2,9.5,r
6.6,0.093,77.5,3.2,9.5,r
7.2,0.064,29,3.35,12.1,r
5.7,0.063,18,3.45,12.2,r
7.6,0.137,9,3.5,10.9,r
5.2,0.08,28,3.78,12.5,r
6.7,0.1,57,3.6,11.7,r
9.1,0.064,15,3.3,11.2,r
8,0.081,68,3.36,11.2,r
7.6,0.087,68,3.12,9.2,r
7.5,0.073,88,3.3,9.8,r
9.7,0.088,91,3.29,10.1,r
6.8,0.068,29,3.41,11.1,r
9.7,0.088,91,3.29,10.1,r
7,0.071,63,3.28,9.2,r
7.5,0.073,88,3.3,9.8,r
6.5,0.064,27,3.33,12.8,r
8,0.083,41,3.34,10.5,r
7,0.086,65,3.4,10.1,r
7,0.086,69,3.4,10.1,r
7.5,0.083,91,3.26,9.8,r
5.4,0.041,46,4.01,12.5,r
9.9,0.091,41,3.18,11.9,r
7.5,0.083,91,3.26,9.8,r
9.1,0.414,64,2.9,9.1,r
9.7,0.094,88,3.26,10.1,r
5,0.041,46,4.01,12.5,r
9.1,0.058,18,3.18,11.4,r
9.1,0.06,55,3.18,11,r
6.7,0.077,34,3.39,10.6,r
6.7,0.077,34,3.39,10.6,r
6.7,0.077,34,3.39,10.6,r
6.7,0.077,34,3.39,10.6,r
6.5,0.073,38,3.34,9.3,r
7.4,0.083,91,3.29,9.8,r
7.4,0.083,91,3.29,9.8,r
7.8,0.107,67,3.26,9.2,r
8.4,0.075,25,3.09,9.7,r
9.1,0.079,48,3.18,9.6,r
7.2,0.166,11,3.39,10,r
6.6,0.069,40,3.38,12.6,r
6,0.057,26,3.36,9.5,r
6,0.057,26,3.36,9.5,r
6,0.057,26,3.36,9.5,r
7.5,0.084,31,3.36,10.5,r
7.5,0.084,31,3.36,10.5,r
7.5,0.084,31,3.36,10.5,r
7.6,0.085,31,3.37,10.4,r
7.5,0.084,31,3.36,10.5,r
11.5,0.077,20,3.09,11,r
8.2,0.063,28,3.25,10.2,r
6.1,0.056,13,3.52,11.4,r
7.2,0.078,12,3.34,9.5,r
7.2,0.078,12,3.34,9.5,r
6.9,0.081,41,3.41,10.8,r
9,0.069,73,3.34,10,r
7.2,0.065,46,3.32,11.8,r
7.6,0.086,57,3.37,10.3,r
7.6,0.086,57,3.37,10.3,r
7.2,0.077,28,3.35,10,r
6.1,0.086,32,3.36,10.1,r
6.1,0.084,28,3.36,10.1,r
7.3,0.078,67,3.6,11.1,r
7.4,0.168,98,3.28,9.5,r
11.6,0.091,28,3.07,10.03333333,r
9.2,0.112,38,3.24,10.9,r
8.3,0.093,54,3.36,10.1,r
11.6,0.091,28,3.07,10.03333333,r
8,0.08,63,3.29,9.8,r
7.2,0.096,31,3.46,11.8,r
7.8,0.115,42,3.18,9.5,r
7.3,0.094,45,3.24,9.8,r
6.9,0.088,105,3.25,10.5,r
8,0.079,74,3.27,9.8,r
6.6,0.069,8,3.33,10.4,r
8.7,0.415,66,3,9.2,r
7.5,0.153,14,3.21,11.6,r
8.7,0.415,66,3,9.2,r
7.7,0.11,89,3.24,9.3,r
6.8,0.267,29,3.32,9.8,r
7.2,0.083,100,3.26,9.9,r
8.2,0.086,31,3.11,10,r
5.2,0.09,74,3.71,12.2,r
7.2,0.078,28,3.29,9.9,r
7.5,0.077,35,3.36,10.8,r
7.5,0.077,35,3.36,10.8,r
6.8,0.074,25,3.38,9.6,r
8,0.08,105,3.3,9.9,r
8,0.08,105,3.3,9.9,r
7.1,0.107,84,3.19,9.5,r
8,0.076,85,3.19,9.2,r
7.4,0.1,23,3.3,9.6,r
7.4,0.1,23,3.3,9.6,r
6.6,0.083,49,3.35,10.3,r
6.7,0.08,111,3.1,9.7,r
6,0.068,33,3.58,12.5,r
8,0.094,33,3.37,11,r
7.1,0.07,12,3.17,9.8,r
8,0.078,59,3.3,10.2,r
6.4,0.07,73,3.32,9.2,r
8.6,0.092,12,3.31,9.55,r
8.7,0.09,11,3.31,9.55,r
7.3,0.08,104,3.28,9.9,r
7,0.083,28,3.52,10.2,r
7.2,0.068,24,3.42,11.1,r
7.9,0.08,141,3.25,9.9,r
7.9,0.08,141,3.25,9.9,r
7.6,0.052,24,3.44,11.9,r
7.2,0.061,13,3.23,10,r
8,0.082,46,3.43,10.7,r
7.7,0.062,34,3.28,11.3,r
8.2,0.062,22,3.22,10.9,r
6,0.064,54,3.54,10.7,r
8.1,0.048,53,3.27,12.4,r
6,0.064,54,3.54,10.7,r
6.6,0.082,16,3.5,11.9,r
6.4,0.071,19,3.56,10.6,r
8.2,0.062,22,3.22,10.9,r
9.9,0.104,89,3.04,10.1,r
10,0.077,15,3.2,9.6,r
6.2,0.065,18,3.56,9.4,r
10,0.077,15,3.2,9.6,r
7.3,0.064,37,3.35,12.1,r
7.8,0.077,19,3.16,9.8,r
7.7,0.077,133,3.27,9.9,r
7.8,0.077,19,3.16,9.8,r
7.5,0.079,58,3.34,9.4,r
7,0.079,55,3.39,11.4,r
6.4,0.123,31,3.5,11,r
8.3,0.076,23,3.26,9.6,r
8.3,0.076,23,3.26,9.6,r
7.7,0.046,60,3.41,12.1,r
7.6,0.078,23,3.3,11.2,r
7.8,0.072,55,3.31,11,r
7.9,0.049,67,3.33,11.3,r
7.4,0.066,47,3.37,10.4,r
7.6,0.069,74,3.26,9.9,r
5.9,0.042,11,3.48,11.7,r
6.1,0.069,25,3.42,10.1,r
10.2,0.214,95,3.18,9,r
10.2,0.214,95,3.18,9,r
10,0.169,90,3.15,8.5,r
6.8,0.07,39,3.53,11.1,r
7,0.052,8,3.41,10.3,r
7.3,0.072,92,3.32,11.06666667,r
7.2,0.062,28,3.23,11.3,r
7.4,0.094,98,3.16,9.566666667,r
6.9,0.078,30,3.4,9.8,r
6.9,0.058,22,3.38,11.7,r
7.3,0.072,92,3.32,11.1,r
7.4,0.094,98,3.16,9.6,r
6.9,0.078,30,3.4,9.8,r
6.8,0.08,39,3.4,9.7,r
6.9,0.08,54,3.4,9.7,r
7.2,0.056,29,3.23,11.3,r
