fixed acidity,chlorides,total sulfur dioxide,pH,alcohol,type
6.6,0.031,135,3.19,10.5,w
5.9,0.03,133,3.52,11.5,w
6.1,0.04,69,3.54,10.1,w
6,0.041,65,3.61,10.3,w
6.6,0.031,135,3.19,10.5,w
6.8,0.031,134,3.21,10.6,w
6.8,0.031,137,3.16,10.4,w
8.3,0.046,207,3.02,11.4,w
7.5,0.057,313,3.18,10.5,w
7.9,0.04,216,2.96,10,w
6.4,0.039,143,3.19,10,w
6.5,0.042,195,3.23,9.6,w
7.2,0.036,85,3.17,10.4,w
6.4,0.03,101,3.36,12.5,w
6.8,0.032,135,3.2,10.6,w
6.3,0.033,91,3.28,11.8,w
6.5,0.038,133,3.11,9.8,w
5.6,0.031,80,3.25,10.8,w
6.3,0.033,91,3.28,11.8,w
6.3,0.036,105,3.32,11.2,w
5.8,0.045,170,3.28,9.3,w
5.9,0.047,139,3.45,10.4,w
6.6,0.049,141,3.43,10.2,w
7.4,0.045,153,3.19,9,w
8,0.047,129,3.2,10,w
6.4,0.044,140,3.18,9.1,w
5.4,0.053,144,3.29,10,w
5.4,0.052,145,3.29,10,w
7.1,0.05,131,3.28,9.6,w
5.6,0.031,68,3.36,11.2,w
6.7,0.056,155,3.2,8.8,w
7.8,0.052,118,3.15,10,w
7.6,0.054,137,3.15,10,w
6.3,0.044,146,3.27,11.4,w
7.3,0.038,138,3.03,11.9,w
5.5,0.071,128,3.14,9.6,w
7.3,0.038,138,3.03,11.9,w
5.8,0.047,245,3.25,9.6,w
7.3,0.063,191,2.89,9,w
7.3,0.063,191,2.89,9,w
6.1,0.05,169,3.15,9.5,w
10,0.05,152,3,10.4,w
6.9,0.04,161,3.2,10.6,w
6.4,0.047,162,3.28,10.2,w
7.1,0.055,84,3.15,8.9,w
6.8,0.05,127,3.4,9.7,w
7.3,0.063,191,2.89,9,w
6.8,0.037,102,3.49,11.4,w
6,0.028,113,3.4,12.3,w
6,0.089,143,3.49,10.8,w
6.9,0.053,148,3.12,9.4,w
7.7,0.049,178,3.17,10.6,w
7.1,0.044,72,3.17,11.6,w
6.9,0.053,148,3.12,9.4,w
7.7,0.049,178,3.17,10.6,w
6.6,0.048,204,3.34,10,w
7.2,0.048,149,3.1,9.2,w
5.1,0.027,89,3.51,12.5,w
5.1,0.027,89,3.51,12.5,w
6.4,0.037,119,3.32,10.4,w
7.3,0.045,98,3.15,10,w
5.7,0.049,155,3.22,10,w
6.4,0.037,119,3.32,10.4,w
7.3,0.045,98,3.15,10,w
7.2,0.046,179,3.1,9,w
7.5,0.051,157,3.12,9.2,w
7.2,0.048,149,3.1,9.2,w
6,0.027,125,3.38,11.3,w
5.1,0.027,89,3.51,12.5,w
5,0.026,115,3.48,10.8,w
6.3,0.04,260,3.12,10.1,w
6.7,0.047,140,3.39,9.7,w
7,0.032,181,3.18,9.3,w
7,0.032,181,3.18,9.3,w
6.5,0.031,66,3.1,10.6,w
6.1,0.031,125,3.36,10.2,w
7.3,0.021,69,3.08,12.2,w
6.8,0.044,163,3.19,8.8,w
6.8,0.04,168,3.18,10,w
8.2,0.031,93,3.09,11.4,w
6.3,0.037,107,3.46,11.4,w
5.9,0.048,168,3.35,9.4,w
6.4,0.032,83,3.3,11.7,w
6.3,0.037,107,3.46,11.4,w
6.8,0.044,163,3.19,8.8,w
6.1,0.069,108,3.23,9.2,w
7.1,0.046,252,3.07,8.7,w
6.8,0.035,170,3.24,12.6,w
6.8,0.04,168,3.18,10,w
5.8,0.031,99,3.39,12.8,w
6.9,0.049,125,3.17,9.4,w
6.3,0.044,116,3.26,10.3,w
8.2,0.031,93,3.09,11.4,w
7.2,0.038,155,2.97,9,w
7.3,0.04,140,3.3,9.6,w
7.2,0.036,85,3.16,10.5,w
7.2,0.036,85,3.16,10.5,w
7.2,0.038,155,2.97,9,w
7.3,0.04,140,3.3,9.6,w
7.4,0.041,99,3.19,9.8,w
6.8,0.047,210,3.1,9,w
7.4,0.041,99,3.19,9.8,w
7.4,0.05,137,3.31,10.5,w
7,0.03,136,3.16,12.7,w
7,0.045,222,3.25,10.4,w
7,0.045,221,3.25,10.4,w
7,0.045,221,3.25,10.4,w
6.9,0.047,162,3.34,10.5,w
7,0.045,222,3.25,10.4,w
7,0.045,221,3.25,10.4,w
6.8,0.053,194,3.09,9.4,w
7.8,0.051,89,3.06,9.1,w
7.1,0.056,197,3.1,9.3,w
6.8,0.053,194,3.09,9.4,w
6.4,0.048,84,3.21,9.8,w
7.4,0.045,214,3.18,9.9,w
7.2,0.108,151,3.07,9.2,w
7,0.028,104,3.35,12.1,w
6.9,0.027,97,3.38,12.2,w
6.1,0.042,218.5,3.27,9.8,w
6.6,0.035,186,3.35,12.4,w
7.4,0.045,214,3.18,9.9,w
6.2,0.06,108,3.26,9.2,w
6.7,0.028,102,3.29,11.6,w
6.1,0.033,137,3.3,10.4,w
6,0.026,126,3.43,12.9,w
6.6,0.048,245,3.26,9.3,w
6.9,0.031,139,3.2,11,w
7.1,0.038,66,3.24,11.5,w
5.8,0.054,156,3.53,12.4,w
6.5,0.048,113,3.44,9.8,w
6.5,0.048,113,3.44,9.8,w
6.4,0.052,127,3.48,10.5,w
7.2,0.07,174,3.03,9.1,w
6.1,0.038,128,3.24,10.1,w
5.9,0.042,160,3.46,10.6,w
6,0.046,113,3.41,10.5,w
6.4,0.052,127,3.48,10.5,w
6.4,0.048,113,3.44,9.8,w
6.3,0.022,82,3.3,12.9,w
7.1,0.056,111,2.95,9.5,w
6,0.053,218.5,3.29,9.8,w
6.1,0.059,249,3.37,8.5,w
7.1,0.056,111,2.95,9.5,w
7,0.047,171,3.22,9.3,w
5.9,0.047,162,3.35,9.5,w
6.8,0.044,68,3.17,9.4,w
7.2,0.047,178,3.16,8.7,w
6.3,0.081,126,2.95,8.9,w
7,0.039,141,3.22,9.4,w
6.8,0.044,68,3.17,9.4,w
7.2,0.047,178,3.16,8.7,w
7.2,0.047,182,3.09,9.6,w
8.6,0.039,158,3,9.3,w
6.5,0.036,200,3.14,10,w
6.6,0.023,86,3.25,12.5,w
7,0.034,132,3.36,9.6,w
5.5,0.03,102,3.24,9.4,w
7,0.029,227,3.03,9.5,w
7.4,0.028,105,2.99,12.4,w
7,0.037,115,3.11,10.5,w
7.1,0.073,165,2.97,9.2,w
6.3,0.041,164,3.32,10.4,w
6.7,0.043,172,3.22,9.2,w
5.9,0.047,104,3.33,10.6,w
5.8,0.044,137,3.34,9.5,w
6.7,0.043,172,3.22,9.2,w
6.2,0.346,200,3.29,9.6,w
6.2,0.028,117,3.47,9.7,w
6,0.025,117,3.46,9.7,w
6.6,0.035,90,3.1,10.7,w
7.4,0.045,180,3.34,10.5,w
7.4,0.047,177,3.13,8.9,w
7,0.035,70,3.09,12.1,w
7.1,0.032,65,3.25,12.7,w
7.8,0.039,182,3.18,9.9,w
6.3,0.022,158,3.2,11.4,w
6.8,0.04,103,3.37,10.7,w
5.7,0.025,173,3.33,12.5,w
7.2,0.041,189,3.08,8.6,w
6.8,0.026,147,3.29,12.5,w
5.7,0.04,174,3.27,10,w
7.2,0.041,189,3.08,8.6,w
7.2,0.045,200,3.08,9.5,w
6.8,0.038,164,3.12,9.6,w
6.4,0.038,210,3.2,9.9,w
6.5,0.037,210,3.19,9.9,w
7.8,0.053,140,3.06,8.9,w
7.8,0.053,140,3.06,8.9,w
7.3,0.09,135,3.01,8.8,w
6,0.048,170,3.64,10,w
5.9,0.039,152,3.44,12,w
6,0.048,170,3.64,10,w
6.7,0.041,138,3.21,10,w
7.8,0.042,167,3.11,12.1,w
7.3,0.04,141,3.16,11,w
7.4,0.025,55,3.21,11.2,w
7.8,0.036,115,3.17,10.3,w
6.1,0.051,167,3.37,10.4,w
6.8,0.055,154,3.08,9.1,w
7.4,0.045,154,3,10.4,w
5.9,0.05,78,3.43,10.8,w
7.2,0.048,41,3.19,11.7,w
7.9,0.039,143,3.05,9.8,w
7.9,0.039,143,3.05,9.8,w
6.9,0.038,101,3.03,11.4,w
5.8,0.033,96,3.03,11.2,w
5.6,0.038,72,3.37,11.4,w
5.9,0.114,140,3.09,9.2,w
7.2,0.04,29,3.04,12.5,w
6.1,0.034,116,3.36,12.6,w
5.2,0.031,104,3.44,12.2,w
5.6,0.03,112,3.56,11.2,w
6.4,0.048,103,3.43,9.7,w
6.4,0.186,150,3.06,9.3,w
7.4,0.067,178,3.01,9,w
7.4,0.067,178,3.01,9,w
7.4,0.067,178,3.01,9,w
7.9,0.047,171,3.09,9.1,w
7.9,0.047,171,3.09,9.1,w
7.4,0.067,178,3.01,9,w
6.1,0.045,61,3.31,10.4,w
6.8,0.053,211,3.37,9.5,w
6.7,0.04,175,3.46,11.4,w
7.2,0.05,192,3.16,8.7,w
5.5,0.045,167,3.34,9.9,w
6.7,0.036,148,3.22,9.9,w
6.8,0.047,162,3.21,9,w
6.4,0.04,149,3.49,10,w
6.3,0.039,172,3.49,9.7,w
7.7,0.052,87,3.3,11.8,w
6.5,0.044,127,3.49,10.2,w
7.2,0.05,192,3.16,8.7,w
7,0.05,168,3.07,9.6,w
9.2,0.026,93,2.93,11.3,w
7.8,0.028,118,3,12.1,w
7,0.05,168,3.07,9.6,w
7.8,0.028,118,3,12.1,w
9.2,0.026,93,2.93,11.3,w
8.4,0.046,160,2.98,9.4,w
6.1,0.049,137,3.32,10.4,w
5.9,0.044,165,3.25,9.5,w
7.2,0.047,144,3.01,12.3,w
6.7,0.049,150,3.12,9.9,w
5.9,0.057,128,3.24,10.1,w
7.7,0.063,184,3.09,9.2,w
7.4,0.046,135,3.08,10.4,w
6.8,0.066,165,3.2,9.1,w
7.8,0.059,99,3.12,10,w
7.2,0.051,37,3.13,11.5,w
6,0.048,153,3.08,9.8,w
6.1,0.05,154,3.08,9.8,w
6.5,0.04,179,3.19,9.4,w
7.4,0.051,194,3.05,8.7,w
6.5,0.038,107,3.32,11.6,w
6.7,0.047,181,3.04,8.8,w
7.2,0.032,151,3.16,12.7,w
7.4,0.035,138,3.17,11.7,w
8.2,0.047,185,3.13,10.2,w
8.2,0.047,187,3.13,10.2,w
7.1,0.033,153,3.15,12.7,w
6.5,0.038,107,3.32,11.6,w
6,0.034,134,3.38,12.3,w
7.4,0.051,194,3.05,8.7,w
5.7,0.042,111,3.35,9.4,w
7.3,0.056,168,3.13,10.1,w
7.4,0.042,81,2.86,9.7,w
6.6,0.046,134,3.42,10.1,w
7.4,0.042,81,2.86,9.7,w
7.4,0.049,157,3.13,8.9,w
6.1,0.034,136,3.47,10.8,w
6.9,0.036,121,3.42,10.8,w
7,0.04,136,3.19,9.5,w
7.1,0.059,148,2.94,9.1,w
7.3,0.037,119,3.32,10.9,w
6.9,0.043,152,3.2,9.4,w
6.4,0.03,131,2.97,10.8,w
6.4,0.03,131,2.97,10.8,w
6.3,0.051,140,3.45,10.5,w
6.9,0.043,152,3.2,9.4,w
7,0.034,127,3.17,10.8,w
5.9,0.036,115,3.35,10.5,w
6.9,0.036,55,3.08,11.5,w
6.7,0.18,160,3.11,9.4,w
7.2,0.045,106,2.88,10.8,w
6.4,0.03,131,2.97,10.8,w
6.4,0.03,131,2.97,10.8,w
6.3,0.052,134,2.99,9.8,w
6.3,0.052,134,2.99,9.8,w
7.3,0.049,158,3.43,9.6,w
7.3,0.049,158,3.43,9.6,w
6.1,0.044,161,3.34,9.5,w
7.4,0.061,94,3.48,10.7,w
6.5,0.037,119,3.25,12.4,w
7.4,0.032,95,3.09,11.1,w
7.5,0.047,133,2.99,8.8,w
7.5,0.045,133,3,8.7,w
7.5,0.045,133,3,8.7,w
7.5,0.047,133,2.99,8.8,w
7.8,0.037,101,3.21,11.7,w
7.8,0.051,195,3.23,10.9,w
7.7,0.051,190,3.23,10.8,w
7.4,0.057,135,3.12,9.6,w
6.5,0.084,222,3.18,9,w
6.5,0.083,171,2.85,9,w
5.3,0.043,141,3.36,10.4,w
7.2,0.045,64,3.23,11.4,w
6,0.066,128,3.26,9.3,w
6.2,0.039,130,3.33,11,w
7.6,0.096,177,3.32,9.1,w
7,0.048,228,3.23,9.4,w
7,0.048,228,3.23,9.4,w
5.8,0.036,99,3.18,10.5,w
7,0.05,144,3.22,8.8,w
7,0.05,144,3.22,8.8,w
6.9,0.04,131,3.26,10.7,w
6,0.045,187,3.33,9.5,w
6.1,0.033,150,3.43,10.9,w
5.9,0.027,140,3.49,10.8,w
6.2,0.037,133,3.41,10.8,w
7.4,0.053,148,3.1,9.2,w
5.6,0.046,198,3.3,10.3,w
5.8,0.046,197,3.3,10.3,w
5.6,0.047,127,3.34,11,w
6.1,0.054,189,3.25,9,w
6.3,0.046,179,3.36,10.4,w
6.4,0.05,163,3.31,9.5,w
6.4,0.051,166,3.31,9.5,w
6.3,0.058,166,3.24,9,w
6.5,0.061,151,3.09,9.5,w
7.4,0.05,146,3.16,9,w
6,0.041,190,3.16,10,w
7.1,0.067,189,3.07,9.1,w
7.1,0.067,189,3.07,9.1,w
7.1,0.067,189,3.07,9.1,w
7.1,0.067,189,3.07,9.1,w
5.9,0.053,134,3.34,9.5,w
6.5,0.048,138,3.33,11.4,w
7.7,0.03,117,3.11,12.2,w
9,0.028,95,3.04,11.3,w
7.3,0.05,136,3.25,10.2,w
6.6,0.052,188,3.24,11.3,w
6.8,0.038,234.5,3.15,10,w
7.1,0.049,86,3.15,9.4,w
6.8,0.032,133,3.37,12.2,w
7,0.094,188,3.4,9.2,w
7.1,0.049,86,3.15,9.4,w
7.1,0.052,182,3.35,9.6,w
7.8,0.056,130,3.28,9.5,w
6.8,0.036,195,3.35,12.5,w
7.1,0.052,182,3.35,9.6,w
6.1,0.047,173,3.35,10,w
6.4,0.047,211,3.18,9.3,w
7.8,0.058,199,3.14,9.3,w
6.6,0.038,101,3.29,11.6,w
7.1,0.039,150,3.38,12.5,w
6.7,0.038,130,3.36,10.6,w
6.4,0.047,206,3.08,9.4,w
6.1,0.056,201,3.19,9.1,w
5.9,0.057,224,3.23,9,w
5.8,0.033,94,3.42,11.8,w
5.8,0.033,94,3.42,11.8,w
5.7,0.033,94,3.42,11.8,w
6.7,0.043,159,3.17,10,w
6.8,0.058,171,3.06,9.7,w
5.9,0.052,165,3.24,9.5,w
6.4,0.24,174,3.12,9.4,w
8.1,0.052,183,3.03,11.2,w
6.2,0.051,201,3.25,9,w
6.8,0.043,114,3.3,10.7,w
6.8,0.29,193,3.08,9,w
7.2,0.044,222,3.14,9.1,w
6.7,0.039,125,3.26,10.8,w
6.9,0.043,136,3.31,10.1,w
6.1,0.037,198,3.17,9.9,w
6,0.036,191,3.17,9.8,w
5.9,0.036,185,3.17,9.8,w
7.6,0.041,225,3.16,9.5,w
6.3,0.047,198,3.23,9.5,w
6.7,0.022,94,3.23,11.1,w
7.5,0.039,204,3.06,9.5,w
7.5,0.039,204,3.06,9.5,w
7.4,0.042,204,3.06,9.4,w
8.4,0.042,197,3.06,9.7,w
5.9,0.03,135,3.41,13.9,w
6.6,0.042,84,3.22,10.1,w
6.4,0.038,110,3.12,10.5,w
5.6,0.037,115,3.42,12.6,w
8.6,0.032,41,2.89,10.9,w
6.2,0.041,218,3.15,10,w
7.2,0.046,166,3.13,11.2,w
7.7,0.05,130,3.11,10,w
6.2,0.044,98,3.14,9.2,w
6.1,0.046,172,3.35,9.5,w
8.2,0.035,128,3.1,12.3,w
8.2,0.035,128,3.1,12.3,w
6.4,0.04,213,3.32,10,w
6,0.038,187,3.41,10.8,w
6.2,0.038,150,3.49,10.5,w
7.7,0.048,221,3.06,9.2,w
7,0.042,157,2.96,9.1,w
6.2,0.038,150,3.49,10.5,w
7.4,0.042,127,3.45,10.2,w
6.6,0.053,178,3.02,8.9,w
6,0.046,182,3.5,10.4,w
6.9,0.032,128,3.37,11.7,w
6.6,0.02,89,3.26,12.4,w
7.8,0.028,122,3.14,10.9,w
6.4,0.041,136,3.15,10.2,w
6.4,0.038,114,3.37,11.7,w
7,0.057,101,2.99,9.4,w
6.4,0.043,157,3.35,10.5,w
6,0.185,188,3.12,9.4,w
6.5,0.042,139,3.35,10.4,w
6.2,0.044,240,3.25,9.5,w
8.8,0.022,49,3.01,11.1,w
6.6,0.052,183,3.02,9.1,w
6.9,0.04,191,3.28,9.2,w
6.4,0.038,129,3.14,9.6,w
6.6,0.052,183,3.02,9.1,w
6.9,0.04,191,3.28,9.2,w
7.1,0.021,142,3.17,10.8,w
6.4,0.038,129,3.14,9.6,w
6.9,0.022,19,3.31,12.6,w
5.8,0.031,57,3.44,11,w
7,0.03,136,3.28,10.2,w
5.9,0.034,152,3.33,9.4,w
7.4,0.041,160,3.17,10,w
7.4,0.022,113,3.26,12.2,w
7,0.033,253,3.22,10.5,w
7.2,0.024,177,3.04,11.5,w
6.9,0.049,176,3.3,9.8,w
7.3,0.025,175,3.04,11.4,w
7.2,0.024,177,3.04,11.5,w
6.9,0.036,167,3.15,10.2,w
6.7,0.038,160,3.16,9.4,w
7,0.033,253,3.22,10.5,w
5.9,0.11,138,3.09,9.1,w
7.1,0.032,107,3.25,12.2,w
5.8,0.056,175,3.42,9.5,w
6.8,0.051,178,3.4,9.3,w
7.1,0.051,136,3.3,9.8,w
7.1,0.047,134,3.3,9.8,w
6.9,0.049,176,3.3,9.8,w
7,0.05,173,3.3,9.8,w
6.8,0.057,247,3,8.7,w
5,0.039,128,3.37,10.2,w
6.3,0.042,168,3.22,9.5,w
7.2,0.05,135,2.94,11,w
6.7,0.078,238,3.08,9.2,w
6.8,0.028,46,3.21,10.9,w
6.7,0.043,113,3.42,9.3,w
6.7,0.043,113,3.42,9.3,w
6.8,0.045,120,3.41,9.8,w
6.6,0.13,140,3.12,9.3,w
6.6,0.135,144,3.12,9.3,w
6.1,0.039,172,3.4,9.4,w
9.1,0.035,124,3.2,10.4,w
6.4,0.115,104,3.24,12.1,w
8.3,0.039,98,3.02,11,w
7.2,0.052,197,3.12,9,w
6.9,0.053,178,3.37,9.5,w
8.1,0.053,145,3.28,8.8,w
6,0.042,55,3.37,11.2,w
